id,cost,status,xloc,yloc
197,0.1,3,44601.46964708,1205125.99725439
198,0.1,0,55347.16896532,1205125.99725439
199,0.1,0,76838.56760179,1205125.99725439
200,0.1,0,87584.26692002,1205125.99725439
201,0.1,0,98329.96623826,1205125.99725439
202,0.1,0,109075.66555649,1205125.99725439
203,0.1,0,119821.36487473,1205125.99725439
204,0.1,0,173549.86146591,1205125.99725439
205,0.1,3,184295.56078414,1205125.99725439
206,0.1,0,195041.26010238,1205125.99725439
207,0.1,3,28482.92066973,1214432.04584541
208,0.1,3,39228.61998796,1214432.04584541
209,0.1,3,49974.3193062,1214432.04584541
210,0.1,0,60720.01862443,1214432.04584541
211,0.1,0,71465.71794267,1214432.04584541
212,0.1,0,82211.4172609,1214432.04584541
213,0.1,0,92957.11657914,1214432.04584541
214,0.1,0,103702.81589737,1214432.04584541
215,0.1,0,114448.51521561,1214432.04584541
216,0.1,0,125194.21453385,1214432.04584541
217,0.1,0,135939.91385208,1214432.04584541
218,0.1,0,157431.31248855,1214432.04584541
219,0.1,0,168177.01180679,1214432.04584541
220,0.1,0,178922.71112502,1214432.04584541
221,0.1,3,33855.77032884,1223738.09443644
222,0.1,3,44601.46964708,1223738.09443644
223,0.1,3,55347.16896532,1223738.09443643
224,0.1,3,66092.86828355,1223738.09443644
225,0.1,0,76838.56760179,1223738.09443644
226,0.1,0,87584.26692002,1223738.09443644
227,0.1,0,98329.96623826,1223738.09443644
228,0.1,3,109075.66555649,1223738.09443644
229,0.1,3,119821.36487473,1223738.09443644
230,0.1,0,130567.06419296,1223738.09443643
231,0.1,0,141312.7635112,1223738.09443644
232,0.1,0,152058.46282943,1223738.09443643
233,0.1,0,162804.16214767,1223738.09443644
234,0.1,3,49974.3193062,1233044.14302746
235,0.1,3,60720.01862443,1233044.14302746
236,0.1,3,71465.71794267,1233044.14302746
237,0.1,0,82211.4172609,1233044.14302746
238,0.1,3,92957.11657914,1233044.14302746
239,0.1,3,103702.81589737,1233044.14302746
240,0.1,3,114448.51521561,1233044.14302746
241,0.1,3,125194.21453385,1233044.14302746
242,0.1,3,135939.91385208,1233044.14302746
243,0.1,3,146685.61317032,1233044.14302746
244,0.1,0,157431.31248855,1233044.14302746
245,0.1,3,55347.16896532,1242350.19161847
246,0.1,3,66092.86828355,1242350.19161848
247,0.1,3,76838.56760179,1242350.19161847
248,0.1,3,87584.26692002,1242350.19161847
249,0.1,3,98329.96623826,1242350.19161847
250,0.1,3,109075.66555649,1242350.19161848
251,0.1,3,119821.36487473,1242350.19161847
252,0.1,0,130567.06419296,1242350.19161847
253,0.1,3,141312.7635112,1242350.19161848
254,0.1,0,152058.46282943,1242350.19161847
255,0.1,3,28482.92066973,1251656.2402095
256,0.1,3,71465.71794267,1251656.2402095
257,0.1,3,82211.4172609,1251656.2402095
258,0.1,3,92957.11657914,1251656.2402095
259,0.1,3,103702.81589737,1251656.24020949
260,0.1,0,114448.51521561,1251656.2402095
261,0.1,0,125194.21453385,1251656.2402095
262,0.1,0,135939.91385208,1251656.2402095
263,0.1,0,146685.61317032,1251656.2402095
264,0.1,3,1618.67237414,1260962.28880052
265,0.1,3,12364.37169237,1260962.28880052
266,0.1,3,23110.07101061,1260962.28880051
267,0.1,3,33855.77032884,1260962.28880052
268,0.1,3,44601.46964708,1260962.28880052
269,0.1,3,55347.16896532,1260962.28880052
270,0.1,3,66092.86828355,1260962.28880052
271,0.1,3,76838.56760179,1260962.28880052
272,0.1,3,87584.26692002,1260962.28880052
273,0.1,3,98329.96623826,1260962.28880052
274,0.1,3,109075.66555649,1260962.28880052
275,0.1,0,119821.36487473,1260962.28880052
276,0.1,0,130567.06419296,1260962.28880052
277,0.1,0,141312.7635112,1260962.28880052
278,0.1,3,6991.52203326,1270268.33739154
279,0.1,3,17737.22135149,1270268.33739154
280,0.1,3,28482.92066973,1270268.33739154
281,0.1,3,39228.61998796,1270268.33739154
282,0.1,0,49974.3193062,1270268.33739153
283,0.1,0,60720.01862443,1270268.33739153
284,0.1,3,71465.71794267,1270268.33739154
285,0.1,3,82211.4172609,1270268.33739153
286,0.1,3,92957.11657914,1270268.33739154
287,0.1,3,103702.81589737,1270268.33739153
288,0.1,3,114448.51521561,1270268.33739154
289,0.1,0,125194.21453385,1270268.33739154
290,0.1,3,12364.37169237,1279574.38598256
291,0.1,3,23110.07101061,1279574.38598256
292,0.1,3,33855.77032884,1279574.38598256
293,0.1,0,44601.46964708,1279574.38598256
294,0.1,0,55347.16896532,1279574.38598256
295,0.1,0,66092.86828355,1279574.38598256
296,0.1,0,76838.56760179,1279574.38598256
297,0.1,0,87584.26692002,1279574.38598256
298,0.1,3,98329.96623826,1279574.38598256
299,0.1,3,109075.66555649,1279574.38598256
300,0.1,3,119821.36487473,1279574.38598256
301,0.1,0,152058.46282943,1279574.38598256
302,0.1,3,6991.52203326,1288880.43457358
303,0.1,3,17737.22135149,1288880.43457358
304,0.1,3,28482.92066973,1288880.43457358
305,0.1,0,39228.61998796,1288880.43457358
306,0.1,0,49974.3193062,1288880.43457358
307,0.1,0,60720.01862443,1288880.43457358
308,0.1,0,71465.71794267,1288880.43457358
309,0.1,0,82211.4172609,1288880.43457358
310,0.1,0,92957.11657914,1288880.43457358
311,0.1,3,103702.81589737,1288880.43457358
312,0.1,3,114448.51521561,1288880.43457358
313,0.1,0,125194.21453385,1288880.43457358
314,0.1,0,146685.61317032,1288880.43457358
315,0.1,3,23110.07101061,1298186.4831646
316,0.1,3,33855.77032884,1298186.4831646
317,0.1,0,44601.46964708,1298186.4831646
318,0.1,0,55347.16896532,1298186.4831646
319,0.1,0,66092.86828355,1298186.4831646
320,0.1,0,76838.56760179,1298186.4831646
321,0.1,0,87584.26692002,1298186.4831646
322,0.1,0,98329.96623826,1298186.4831646
323,0.1,3,109075.66555649,1298186.4831646
324,0.1,0,119821.36487473,1298186.4831646
325,0.1,3,-57482.67387616,1307492.53175562
326,0.1,3,-14499.87660321,1307492.53175562
327,0.1,3,-3754.17728498,1307492.53175562
328,0.1,3,28482.92066973,1307492.53175562
329,0.1,3,39228.61998796,1307492.53175562
330,0.1,3,49974.3193062,1307492.53175562
331,0.1,3,60720.01862443,1307492.53175562
332,0.1,0,71465.71794267,1307492.53175562
333,0.1,0,82211.4172609,1307492.53175562
334,0.1,0,92957.11657914,1307492.53175562
335,0.1,3,103702.81589737,1307492.53175562
336,0.1,0,114448.51521561,1307492.53175562
337,0.1,3,-62855.52353527,1316798.58034665
338,0.1,3,-19872.72626233,1316798.58034665
339,0.1,3,-9127.0269441,1316798.58034664
340,0.1,3,1618.67237414,1316798.58034665
341,0.1,3,12364.37169237,1316798.58034664
