id,cost,status,xloc,yloc
493,1,3,107536.1814597,1239614.6716899
494,1,3,117536.1814597,1239614.6716899
495,1,3,127536.1814597,1239614.6716899
496,1,0,137536.1814597,1239614.6716899
497,1,0,147536.1814597,1239614.6716899
498,1,3,47536.1814597,1229614.6716899
499,1,3,57536.1814597,1229614.6716899
500,1,3,67536.1814597,1229614.6716899
501,1,0,77536.1814597,1229614.6716899
502,1,0,87536.1814597,1229614.6716899
503,1,3,97536.1814597,1229614.6716899
504,1,3,107536.1814597,1229614.6716899
505,1,3,117536.1814597,1229614.6716899
506,1,3,127536.1814597,1229614.6716899
507,1,3,137536.1814597,1229614.6716899
508,1,3,147536.1814597,1229614.6716899
509,1,0,157536.1814597,1229614.6716899
510,1,3,37536.1814597,1219614.6716899
511,1,3,47536.1814597,1219614.6716899
512,1,3,57536.1814597,1219614.6716899
513,1,0,67536.1814597,1219614.6716899
514,1,3,77536.1814597,1219614.6716899
515,1,3,87536.1814597,1219614.6716899
516,1,0,97536.1814597,1219614.6716899
517,1,0,107536.1814597,1219614.6716899
518,1,3,117536.1814597,1219614.6716899
519,1,0,127536.1814597,1219614.6716899
520,1,0,137536.1814597,1219614.6716899
521,1,0,147536.1814597,1219614.6716899
522,1,0,157536.1814597,1219614.6716899
523,1,0,167536.1814597,1219614.6716899
524,1,3,27536.1814597,1209614.6716899
525,1,3,37536.1814597,1209614.6716899
526,1,3,47536.1814597,1209614.6716899
527,1,3,57536.1814597,1209614.6716899
528,1,0,67536.1814597,1209614.6716899
529,1,0,77536.1814597,1209614.6716899
530,1,0,87536.1814597,1209614.6716899
531,1,3,97536.1814597,1209614.6716899
532,1,3,107536.1814597,1209614.6716899
533,1,0,117536.1814597,1209614.6716899
534,1,3,127536.1814597,1209614.6716899
535,1,0,137536.1814597,1209614.6716899
536,1,0,167536.1814597,1209614.6716899
537,1,3,47536.1814597,1199614.6716899
538,1,0,57536.1814597,1199614.6716899
539,1,0,67536.1814597,1199614.6716899
540,1,0,77536.1814597,1199614.6716899
541,1,3,87536.1814597,1199614.6716899
542,1,3,107536.1814597,1199614.6716899
543,1,0,177536.1814597,1199614.6716899
544,1,0,187536.1814597,1199614.6716899
545,1,0,197536.1814597,1199614.6716899
546,1,0,217536.1814597,1199614.6716899
547,1,3,77536.1814597,1189614.6716899
548,1,3,87536.1814597,1189614.6716899
549,1,0,97536.1814597,1189614.6716899
550,1,3,107536.1814597,1189614.6716899
551,1,0,197536.1814597,1189614.6716899
552,1,0,207536.1814597,1189614.6716899
553,1,0,217536.1814597,1189614.6716899
554,1,0,227536.1814597,1189614.6716899
555,1,3,97536.1814597,1179614.6716899
556,1,0,107536.1814597,1179614.6716899
557,1,0,227536.1814597,1179614.6716899
558,1,3,107536.1814597,1169614.6716899
559,1,0,117536.1814597,1169614.6716899
560,1,3,257536.1814597,1169614.6716899
561,1,3,107536.1814597,1159614.6716899
562,1,3,117536.1814597,1159614.6716899
563,1,0,127536.1814597,1159614.6716899
564,1,3,127536.1814597,1149614.6716899
565,1,3,137536.1814597,1149614.6716899
566,1,3,357536.1814597,1149614.6716899
567,1,3,137536.1814597,1139614.6716899
568,1,0,147536.1814597,1139614.6716899
569,1,0,147536.1814597,1129614.6716899
570,1,0,347536.1814597,1129614.6716899
571,1,3,367536.1814597,1129614.6716899
572,1,3,147536.1814597,1119614.6716899
573,1,0,167536.1814597,1119614.6716899
574,1,0,357536.1814597,1119614.6716899
575,1,0,367536.1814597,1119614.6716899
576,1,0,167536.1814597,1109614.6716899
577,1,3,177536.1814597,1109614.6716899
578,1,0,347536.1814597,1109614.6716899
579,1,3,357536.1814597,1109614.6716899
580,1,3,367536.1814597,1109614.6716899
581,1,0,377536.1814597,1109614.6716899
582,1,3,167536.1814597,1099614.6716899
583,1,0,177536.1814597,1099614.6716899
584,1,0,187536.1814597,1099614.6716899
585,1,3,197536.1814597,1099614.6716899
586,1,0,367536.1814597,1099614.6716899
587,1,0,377536.1814597,1099614.6716899
588,1,3,167536.1814597,1089614.6716899
589,1,3,177536.1814597,1089614.6716899
590,1,3,187536.1814597,1089614.6716899
591,1,0,197536.1814597,1089614.6716899
592,1,3,207536.1814597,1089614.6716899
593,1,3,377536.1814597,1089614.6716899
594,1,3,187536.1814597,1079614.6716899
595,1,3,197536.1814597,1079614.6716899
596,1,3,207536.1814597,1079614.6716899
597,1,3,217536.1814597,1079614.6716899
598,1,0,377536.1814597,1079614.6716899
599,1,0,387536.1814597,1079614.6716899
600,1,3,397536.1814597,1079614.6716899
601,1,3,197536.1814597,1069614.6716899
602,1,3,207536.1814597,1069614.6716899
603,1,3,217536.1814597,1069614.6716899
604,1,3,227536.1814597,1069614.6716899
605,1,3,397536.1814597,1069614.6716899
606,1,0,407536.1814597,1069614.6716899
607,1,3,417536.1814597,1069614.6716899
608,1,0,427536.1814597,1069614.6716899
609,1,0,487536.1814597,1069614.6716899
610,1,3,207536.1814597,1059614.6716899
611,1,3,217536.1814597,1059614.6716899
612,1,0,227536.1814597,1059614.6716899
613,1,0,237536.1814597,1059614.6716899
614,1,0,397536.1814597,1059614.6716899
615,1,3,437536.1814597,1059614.6716899
616,1,0,447536.1814597,1059614.6716899
617,1,0,457536.1814597,1059614.6716899
